ID,Emotion,Label,WavPath,Text
Sess19_script02_M007,neutral,4,KEMDy19/wav/Session19/Sess19_script02/Sess19_script02_M007.wav,이게 뭐야. 집 앞 마트는 라면하고 생필품이 싸고 반찬가게는 옆 동네 시장이 괜찮고 이게 뭔데 날 적어줘?
Sess19_impro03_M003,neutral,4,KEMDy19/wav/Session19/Sess19_impro03/Sess19_impro03_M003.wav,미연 씨. 혀에 문제 있어요?
Sess19_script03_M003,neutral,4,KEMDy19/wav/Session19/Sess19_script03/Sess19_script03_M003.wav, BTS가 오빠냐? 너보다 여섯 살은 어려 웃기고 있네
Sess19_impro02_M012,neutral,4,KEMDy19/wav/Session19/Sess19_impro02/Sess19_impro02_M012.wav,아 그냥 저한테 다 떠넘기시겠다 이런 건가요? 
Sess19_impro02_M018,surprise,1,KEMDy19/wav/Session19/Sess19_impro02/Sess19_impro02_M018.wav,그 이중장부 제가 어딨는지 다 알고 있는데요. 어디 회사에 한 번 알려볼까요? 다 퍼트려요?
Sess19_script05_M016,fear,0,KEMDy19/wav/Session19/Sess19_script05/Sess19_script05_M016.wav,왜 이러는데너 내가 망가지길 바래? 내가 인생 바닥으로 떨어지길 원하냐구
Sess19_script04_M025,neutral,4,KEMDy19/wav/Session19/Sess19_script04/Sess19_script04_M025.wav,뭐? 아 갑자기 왜 그래
Sess19_impro01_M003,neutral,4,KEMDy19/wav/Session19/Sess19_impro01/Sess19_impro01_M003.wav,아니야. 그런 거.
Sess19_script04_M023,happy,5,KEMDy19/wav/Session19/Sess19_script04/Sess19_script04_M023.wav, 미안해. 하지만 다음에 만날땐 내가 꼭 멋진 선물 사줄게. 내가 지금은 비록 중국집 배달부 밖에 안되지만 열심히 일하면 제주도 앞바다에 있는 그 멋지고 그 좋은 펜션을 짓고 우리도 멋있게 행복하게 살 수 있어.
Sess19_script02_M006,neutral,4,KEMDy19/wav/Session19/Sess19_script02/Sess19_script02_M006.wav,뭔데 한참 재밌게 보고 있는데.
Sess19_impro02_M007,neutral,4,KEMDy19/wav/Session19/Sess19_impro02/Sess19_impro02_M007.wav,하지만 완성하려고 하는데에는 그만큼 비용이 들 수 밖에 없었어요. 부장님도 아시잖아요.
Sess19_script05_M005,neutral,4,KEMDy19/wav/Session19/Sess19_script05/Sess19_script05_M005.wav,으응. 아 씨 죽었으면 어떡하지? 난 술도 마셨는데 신고해야하나? 아니야 나중에 일이 더 커질거야 어떡하지. 
Sess19_script02_M020,sad,3,KEMDy19/wav/Session19/Sess19_script02/Sess19_script02_M020.wav,행복했을까여보 왜 이래. 왜 이리 약한 생각을 해
Sess19_script04_M026,neutral,4,KEMDy19/wav/Session19/Sess19_script04/Sess19_script04_M026.wav,무슨 소리야?
Sess19_impro01_M001,neutral,4,KEMDy19/wav/Session19/Sess19_impro01/Sess19_impro01_M001.wav,어.
Sess19_script04_M013,neutral,4,KEMDy19/wav/Session19/Sess19_script04/Sess19_script04_M013.wav,음 바다야 바다. 제주도 서귀포에 풍경 좋은 곳이 많거든? 그쪽에 바다가 보이는 양지바른 땅을 사서 하얗고 웅장하게 팬션을 짓는 거야. 마당에서는 바비큐를 하고
Sess19_impro04_M025,happy,5,KEMDy19/wav/Session19/Sess19_impro04/Sess19_impro04_M025.wav,그래.
Sess19_impro04_M021,happy,5,KEMDy19/wav/Session19/Sess19_impro04/Sess19_impro04_M021.wav,아이 또 뭐 연애할 때 얘기하고 그래?
Sess19_impro01_M006,neutral,4,KEMDy19/wav/Session19/Sess19_impro01/Sess19_impro01_M006.wav,아니 김 부장이 아 또 나한테 말도 안되는 걸로 짜증내는데 아 진짜 그걸 왜 맨날 내가 견디고 있어야 되는지 모르겠고
Sess19_script05_M004,surprise,1,KEMDy19/wav/Session19/Sess19_script05/Sess19_script05_M004.wav,신고하자자 잠깐만 잠깐만 기다려봐. 그러니까 좀 생각을 좀 해보자고
Sess19_impro01_M023,happy,5,KEMDy19/wav/Session19/Sess19_impro01/Sess19_impro01_M023.wav,알았어.
Sess19_script03_M027,happy,5,KEMDy19/wav/Session19/Sess19_script03/Sess19_script03_M027.wav,내일 날 밝으면 이제 고주홍의 시대가 열린다 이거야. 어? 두고 봐 내가 이 돈으로 세상을 깜짝 놀라게 할거니까. 
Sess19_impro04_M002,neutral,4,KEMDy19/wav/Session19/Sess19_impro04/Sess19_impro04_M002.wav,응. 윤서는? 자?
Sess19_script02_M003,neutral,4,KEMDy19/wav/Session19/Sess19_script02/Sess19_script02_M003.wav,앞집에 마트가 있었나?
Sess19_script01_M011,neutral,4,KEMDy19/wav/Session19/Sess19_script01/Sess19_script01_M011.wav,그래서 옷이 그렇구나.
Sess19_impro04_M015,neutral,4,KEMDy19/wav/Session19/Sess19_impro04/Sess19_impro04_M015.wav,자 일로와 봐. 약 좀 바르자. 
Sess19_script02_M011,sad,3,KEMDy19/wav/Session19/Sess19_script02/Sess19_script02_M011.wav,수술하면 되는 거 아니야?
Sess19_script05_M011,fear,0,KEMDy19/wav/Session19/Sess19_script05/Sess19_script05_M011.wav,그럼 뭐야 어떻게 된 거냐고 사람은 쳤는데 그 사람이 없어졌다는게. 
