ID,Emotion,Text,Lable
Sess01_script01_F018,surprise, 지 지섭씨. 저 저기 저기.,1
Sess01_script06_F005,angry,아 됐고. 나 드라마 봐야 해.,2
Sess01_script02_F006,neutral,아 뭐야. 나 말 안해.,4
Sess01_impro01_F011,angry,"그래요. 손님들 말 잘하셨네요. 손님들이 바보도 아니고, 이렇게 비싼 돈 내고 먹으러 왔겠습니까?",2
Sess01_impro04_F005,neutral,아 은서 줄넘기 오늘 대회 나간다고 열심히 운동하더니 곯아떨어져 자버렸어. ,4
Sess01_script03_F008,neutral,우리 회사에서 제일 잘나가는 팀장님과 새로운 TF 팀을 꾸려서 능력을 인정받고 싶었는데 그걸 못하게 됐으니까요 도대체 어떤 아이디어길래 날 빼고 추진 추진하려는 걸까요? 뭐 이런 아쉬움인 거죠.,4
Sess01_script05_F009,sad,글쎄.,3
Sess01_impro04_F033,happy, 잔다니까?,5
Sess01_impro03_F005,neutral,징계위원회가 열린다고 하니깐 준비하고 있어요. 뭐 가볍게는 감봉 조치 될 거고.,4
Sess01_impro04_F021,neutral,이 오밤중에아 맨날 은서한테만 사랑한다 그러고 나 좀 서운해. 은서 누가 낳았어 어? 누가 낳았냐구 저렇게 이쁜 딸내미 누가 낳았어뭘 그런 걸 물어봐 내가 낳았겠어,4
Sess01_script03_F006,neutral,뭐 이리 깐깐하실까. 어차피 환경 프로젝트가 시작되면 회사 사람들은 다 아는 아이디어인데 굳이 감추실 필욘 없잖아요.,4
Sess01_script05_F012,sad,아니 난 아냐 나 틀렸어.,3
Sess01_script02_F022,happy, 아 오빠 너무 웃겨.,5
Sess01_impro04_F024,happy, 아 너무 작잖아 그 정도밖에 안돼? 어?,5
Sess01_impro04_F026,neutral,왜 이럴까아니 남이 듣던 말던 그게 무슨 상관이래?,4
Sess01_script05_F019,sad,당신 우리 애들 잘 부탁해. 그리고 남은 시간 우리 행복하게 지내면 되잖아 나 행복하고 싶어. 그리고 행복하게 죽고 싶어. 예쁜 모습 좋은 모습만 남기고 싶어.,3
Sess01_script03_F005,neutral,웃자고 한 얘기에요. 근데 그 아이디어라는 게 뭐죠?,4
Sess01_impro02_F006,neutral,아들 말이 다 맞지.,4
Sess01_impro04_F008,neutral,약 상자가 어딨는지도 몰라요 의사선생님?,4
Sess01_impro03_F024,fear,어떡해야 돼. 전무님 큰일 났어요.,0
Sess01_impro03_F018,surprise,무슨 소리예요? ,1
Sess01_script02_F033,neutral,대신 프로포즈는 내가 먼저 했으니까 결혼식은 정말 멋지게 해줘야 해? 알았어?,4
Sess01_impro04_F011,neutral,알았어 고마워 아 갑자기 이러니까 옛날 생각난다.,4
Sess01_script02_F030,neutral,100일 반지. 으이그 이 무능력한 남자야 여자인 내가 반지를 준비해야겠어? 다 오빠가 당연히 준비해야지.,4
Sess01_impro03_F017,angry,내가 봐준다 그러잖아요. 내가 뒤 봐준다구요.,2
Sess01_script02_F023,happy, 그러니깐 젓가락 100개란 게 우리들 만난 지 100일 되는 날이라서 준비했다는 거야? ,5
Sess01_script04_F001,neutral,네 이유진입니다.,4
Sess01_script04_F006,neutral,아 아니오. 패션 쪽에서 관심이 있어서 옷 코디하는 방법을 찍어서 올리고 있습니다.,4
Sess01_impro04_F012,neutral,왜 기억 안 나?,4
Sess01_impro02_F013,sad,미안하다 엄마가 못나서.,3
Sess01_script04_F013,surprise,예?,1
Sess01_script04_F018,angry,원래 면접을 이런 식으로 봐요? ,2
Sess01_impro04_F017,happy,아휴 나보다 나를 더 챙겨주는 사람이 있다는 게 얼마나 좋은 건지 당신이랑 결혼해서 너무 좋아 다행이야.,5
Sess01_impro04_F018,happy,미안해?,5
Sess01_script05_F016,sad,아냐 어차피 안되는 일인데 어차피 살 수도 없는데 실낱 같은 목숨 붙잡아 두구 본인두 힘들고 주위 사람두 힘들고.,3
Sess01_impro04_F027,happy,어머 저 말을 저렇게 무미건조하게 한다고? ,5
Sess01_impro02_F017,sad,사람이 힘들 때가 원래 힘든 일은 같이 우는 거야.,3
Sess01_impro02_F021,neutral,참치 넣고 끓여줄게.,4
Sess01_impro02_F022,neutral,역시 돼지고기지 그치?,4
Sess01_script02_F002,neutral,고마워. 근데 오빠는 꿈이 뭐야?,4
Sess01_impro04_F016,happy,아니 맹장이랑 몸 관리랑 무슨 상관이야.,5
Sess01_script02_F003,neutral,아 빨리이잉.,4
Sess01_script06_F010,surprise, 아 설마.,1
Sess01_script05_F004,neutral, 자 이거 받어. 안 봐?,4
Sess01_script02_F025,neutral,안되겠다 오빠랑은 이제 더 이상 못 만나겠다.,4
Sess01_script05_F006,sad,당신 나 없이도 꿋꿋하게 애들 키우며 살아야 해. ,3
Sess01_impro04_F025,neutral,한번왜 뭐 어때서? ,4
Sess01_script03_F007,neutral,아 아 그건 뭐랄까 음 아쉬움? 그래요 아쉬움.,4
Sess01_impro01_F001,neutral,한번 드셔보세요. 맛있을 거에요.,4
Sess01_impro02_F012,neutral,그럴 리가 있겠어? 지은이 얼마나 예뻐. ,4
Sess01_script05_F008,sad,이미 늦었어.,3
Sess01_script05_F013,sad,여보 울 아빠 기억해? 사고로 돌아가신 울 아빠.,3
Sess01_script01_F014,fear, 지섭씨. 왜 이래,0
Sess01_script06_F008,angry,아 몰라 그게 당첨되겠냐. 어우 씨 진짜 어떤 여자가 너랑 너랑 결혼할지 진짜 불쌍하다 불쌍해.,2
Sess01_impro01_F003,neutral,"아니, 한국 사람이면 된장 다 좋아하지 않아요?",4
Sess01_script06_F023,happy,정말? 정말? 아 진짜지? 진짜지? 아 오빠 오빠 진짜 짱이야 최고야. 나한텐 우리 역시 우리 오빠야. 나 천만 원 아니 1억만. 딱 1억만 주라. ,5
Sess01_script06_F018,happy, 아 알았어. 걱정하지 마. 내가 좀 입이 무겁잖아 그러니까 신상 구두 좀,5
Sess01_script06_F022,happy, 지금 지금 전화 걸게 내 친구들 얼 많아.,5
Sess01_script03_F002,neutral,회의 시작 전이죠?,4
Sess01_script05_F002,neutral, 요 앞 마트.,4
Sess01_impro02_F005,neutral,맞아요 예어 그래 김 부장도 그 위치가 있으니까.,4
Sess01_impro04_F004,neutral,괜찮아 먹는 거 그냥 옆에서 봐줘.,4
Sess01_script05_F015,sad,미안해. 아빤 삼 년 동안 폐암으로 병원에 계시다 돌아가셨어.,3
Sess01_script02_F029,happy,자. 오빠는 젓가락을 줬지만 난 좋은 거 줄게.,5
Sess01_script04_F007,neutral,그게 음 80점 정도 주고 싶습니다. ,4
Sess01_script02_F032,neutral,오빠. 누가 선물하고 누가 프로포즈 하면 어때? 난 오빠 사랑하고 지금이 행복해. 우리 둘이 함께 한다는 게 중요한 거잖아?,4
Sess01_script01_F012,fear,이건 사람이면 사람이면 이러면 안 되잖아. 당신 이런 사람 아니잖아. 왜 그러는 건데,0
Sess01_script01_F005,fear,아 아니 그게 말야. 아무것도 도로에 아무것도 없어.,0
Sess01_script05_F017,sad,하. 무슨 의미가 있겠어? 삼 년을 더 사셨다구 아빤 행복했을까?,3
Sess01_script01_F015,fear,지금 계속 무슨 말이야.,0
Sess01_impro04_F019,neutral,미안하면 사랑한다고 얘기해봐.,4
Sess01_script02_F005,neutral,중국집 주인됐고 오빠는 내 꿈 안 각 안 궁금해?,4
Sess01_script01_F022,fear,아 지섭씨 제발. 제발.,0
Sess01_impro01_F014,angry,아니 당신은 좋을 싫을지 몰라도 저 사람들은 다 좋다고 하잖아. 근데 왜 니가. ,2
Sess01_script04_F019,angry,"신성? 신성 좋아하고 있네. 이력서 한 줄 채우려고 내가 특기를 좀 과장되게 썼지만 그렇다고 이걸 이런 식으로 엮는 게 오히려 이상한 신성모독 아닌가요? 당신들 습관인 거 같은데 가뜩이나 취직 안 돼서 괴로워 죽겠는데, 사람 갖고 놀아? ",2
Sess01_script04_F003,neutral,네 감사합니다,4
Sess01_impro02_F003,neutral,알지.,4
Sess01_impro04_F014,happy,아니 좋아서 그렇지 어,5
Sess01_impro03_F004,neutral,일단 징계를 피할 순 없을 거 같네요.,4
Sess01_script01_F020,fear,살았나봐. 어떡해? 어떡해,0
Sess01_impro03_F012,neutral, 내가 한 번 더 얘기해볼게요. 전무님한테 한 번 더 얘기하면 뭐 달라질 거 같진 않지만 그래도 얘기해볼게요.,4
Sess01_impro01_F015,angry,싫으면 당신이 나가. 그럼 되겠네.,2
Sess01_impro03_F009,angry, 지금 윤찬 씨가 한 게 실무적인 일들이에요.,2
Sess01_script05_F007,sad,악성이래 이미 왼쪽에 70프로 정도 퍼져있구 정확한 건 가슴을 열어봐야 알겠지만 림프절과 늑막에 전이가 됐대.,3
